Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/18,22/10/17,Lazio,Cagliari,3,0,H,2,0,H,10,12,3,5,12,15,4,5,1,4,0,0
17/18,22/10/17,Milan,Genoa,0,0,D,0,0,D,18,12,7,2,14,21,5,3,0,2,1,0
17/18,22/10/17,Spal,Sassuolo,0,1,A,0,1,A,13,12,2,2,18,15,10,3,3,3,0,1
17/18,22/10/17,Torino,Roma,0,1,A,0,0,D,5,16,0,5,26,14,0,5,1,1,0,0
17/18,22/10/17,Udinese,Juventus,2,6,A,1,2,A,11,13,4,5,19,9,1,6,6,3,0,1
17/18,24/10/17,Inter,Sampdoria,3,2,H,2,0,H,24,12,8,2,12,11,8,4,2,2,0,0
17/18,25/10/17,Atalanta,Verona,3,0,H,0,0,D,23,11,7,4,7,14,5,5,0,0,0,0
17/18,25/10/17,Bologna,Lazio,1,2,A,0,2,A,7,14,3,3,12,9,10,4,2,2,0,0
17/18,25/10/17,Cagliari,Benevento,2,1,H,1,0,H,13,9,5,3,26,15,5,2,5,1,0,0
17/18,25/10/17,Chievo,Milan,1,4,A,0,2,A,9,17,3,4,12,10,1,1,2,3,0,0
17/18,25/10/17,Fiorentina,Torino,3,0,H,1,0,H,15,5,7,0,22,22,5,6,1,3,0,1
17/18,25/10/17,Genoa,Napoli,2,3,A,1,2,A,7,19,4,6,8,5,1,4,1,1,0,0
17/18,25/10/17,Juventus,Spal,4,1,H,2,1,H,16,6,6,2,16,13,5,2,1,0,0,0
17/18,25/10/17,Roma,Crotone,1,0,H,1,0,H,20,3,4,2,8,9,10,1,0,1,0,0
17/18,25/10/17,Sassuolo,Udinese,0,1,A,0,1,A,11,8,3,2,15,19,6,3,2,3,0,0
17/18,28/10/17,Milan,Juventus,0,2,A,0,1,A,11,9,4,4,21,10,5,6,2,0,0,0
17/18,28/10/17,Roma,Bologna,1,0,H,1,0,H,15,10,3,2,10,13,7,5,1,4,0,0
17/18,29/10/17,Benevento,Lazio,1,5,A,0,3,A,19,12,6,9,12,10,2,6,1,1,0,0
17/18,29/10/17,Crotone,Fiorentina,2,1,H,2,1,H,11,17,5,3,19,17,3,5,3,3,0,0
17/18,29/10/17,Napoli,Sassuolo,3,1,H,2,1,H,26,8,9,1,14,13,6,5,2,2,0,0
17/18,29/10/17,Sampdoria,Chievo,4,1,H,3,1,H,15,13,7,6,9,11,8,6,2,3,0,0
17/18,29/10/17,Spal,Genoa,1,0,H,0,0,D,7,13,3,2,14,24,4,5,4,3,0,0
17/18,29/10/17,Torino,Cagliari,2,1,H,1,1,D,19,7,6,3,9,19,7,6,4,3,0,0
17/18,29/10/17,Udinese,Atalanta,2,1,H,1,1,D,7,7,4,2,15,15,5,7,0,2,0,0
17/18,30/10/17,Verona,Inter,1,2,A,0,1,A,10,17,2,4,12,9,4,7,4,2,0,0
17/18,04/11/17,Bologna,Crotone,2,3,A,2,1,H,15,10,5,6,14,14,5,2,2,3,0,0
17/18,04/11/17,Genoa,Sampdoria,0,2,A,0,1,A,14,11,2,5,22,8,5,2,4,2,0,0
17/18,05/11/17,Atalanta,Spal,1,1,D,1,0,H,9,11,3,3,14,13,3,3,0,2,1,0
17/18,05/11/17,Cagliari,Verona,2,1,H,1,1,D,22,9,9,2,11,15,8,2,2,4,0,0
17/18,05/11/17,Chievo,Napoli,0,0,D,0,0,D,3,19,1,5,7,7,2,11,1,3,0,0
17/18,05/11/17,Fiorentina,Roma,2,4,A,2,2,D,20,21,6,10,15,10,6,9,1,1,0,0
17/18,05/11/17,Inter,Torino,1,1,D,0,0,D,20,7,5,3,19,12,8,3,3,5,0,0
17/18,05/11/17,Juventus,Benevento,2,1,H,0,1,A,27,3,8,1,15,13,8,2,3,3,0,0
17/18,05/11/17,Sassuolo,Milan,0,2,A,0,1,A,6,14,1,10,20,15,7,10,2,3,0,0
17/18,18/11/17,Napoli,Milan,2,1,H,1,0,H,16,13,10,3,17,7,3,1,2,1,0,0
17/18,18/11/17,Roma,Lazio,2,1,H,0,0,D,16,12,7,2,11,17,6,7,2,4,0,0
17/18,19/11/17,Benevento,Sassuolo,1,2,A,0,0,D,13,15,6,5,26,11,6,5,4,1,1,0
17/18,19/11/17,Crotone,Genoa,0,1,A,0,1,A,11,10,5,7,17,15,5,2,1,3,0,0
17/18,19/11/17,Inter,Atalanta,2,0,H,0,0,D,8,8,4,1,10,13,1,2,0,2,0,0
17/18,19/11/17,Sampdoria,Juventus,3,2,H,0,0,D,9,19,5,4,12,15,3,4,4,3,0,0
17/18,19/11/17,Spal,Fiorentina,1,1,D,1,0,H,7,20,1,5,10,17,1,8,4,3,1,0
17/18,19/11/17,Torino,Chievo,1,1,D,1,1,D,19,12,5,4,9,15,5,1,1,1,0,1
